rfq_id,product_type,basket_type,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency_days,quoted_implied_vol,notional_credits,counterparty,trader_id,requested_date,executed,start_date,end_date,avg_duration_months,structural_base_vol_mean,structural_base_vol_max,structural_base_vol_min,structural_base_vol_std,realized_vol_63d_mean,realized_vol_63d_max,realized_vol_63d_min,realized_vol_63d_std,n_underlyings
RFQ-023806,Kessel Run Snowball,worst_of,1.0,0.5283,3,30,0.2757,250000,Jabba Asset Management,TRD-034,2016-01-04,False,,,,0.27,0.32,0.22,0.07071067811865477,0.2647855180173136,0.3190722037375124,0.2104988322971148,0.07677296720179096,2
RFQ-024249,Holocron Reverse Convertible,single,1.2284,0.8388,0,180,0.4886,100000,Banco de Coruscant,TRD-033,2016-01-04,False,,,,0.5,0.5,0.5,0.0,0.8467855117645123,0.8467855117645123,0.8467855117645123,0.0,1
RFQ-024802,Holocron Reverse Convertible,single,1.2392,0.7337,0,365,0.266,100000,Kamino Cloning Trust,TRD-035,2016-01-04,False,,,,0.31,0.31,0.31,0.0,0.2948315830154159,0.2948315830154159,0.2948315830154159,0.0,1
RFQ-024853,Sith Eternal Snowball,worst_of,1.0,0.6158,3,30,0.2085,250000,Corellian Capital,TRD-003,2016-01-04,True,2016-01-06,2019-06-02,26.48,0.24,0.31,0.15,0.0818535277187245,0.22000528909433856,0.2948315830154159,0.1475083973104904,0.07368921120014577,3
RFQ-002528,Holocron Reverse Convertible,single,1.1782,0.7481,0,30,0.3065,1000000,First Order Financial,TRD-019,2016-01-05,True,2016-01-09,2020-03-10,21.09,0.26,0.26,0.26,0.0,0.2164913915332199,0.2164913915332199,0.2164913915332199,0.0,1
RFQ-005263,Wretched Hive Digital,worst_of,1.3893,0.6,0,90,0.3101,1000000,First Order Financial,TRD-009,2016-01-05,False,,,,0.305,0.5,0.11,0.27577164466275356,0.47725558726347733,0.8497963549421478,0.1047148195848069,0.5268522061880601,2
RFQ-005656,Mandalorian Twin-Win,single,1.3769,0.8296,0,90,0.346,500000,Kamino Cloning Trust,TRD-035,2016-01-05,False,,,,0.32,0.32,0.32,0.0,0.3197183666280178,0.3197183666280178,0.3197183666280178,0.0,1
RFQ-006519,Holocron Reverse Convertible,single,1.2069,0.7308,0,30,0.4461,100000,Kamino Cloning Trust,TRD-012,2016-01-05,True,2016-01-08,2018-09-28,6.44,0.5,0.5,0.5,0.0,0.8497963549421478,0.8497963549421478,0.8497963549421478,0.0,1
RFQ-011296,Death Star Phoenix Note,worst_of,0.9934,0.6826,1,90,0.3235,100000,Alderaan Wealth Partners,TRD-005,2016-01-05,True,2016-01-08,2018-12-10,23.29,0.33999999999999997,0.5,0.18,0.2262741699796952,0.7415776629850209,0.8497963549421478,0.6333589710278941,0.15304434186804497,2
RFQ-012516,Wretched Hive Digital,worst_of,1.3689,0.6,0,180,0.1599,250000,Banco de Coruscant,TRD-020,2016-01-05,False,,,,0.165,0.22,0.11,0.07778174593052023,0.1576240332946614,0.2105332470045159,0.1047148195848069,0.07482492760297274,2
RFQ-015757,Wretched Hive Digital,worst_of,1.3388,0.6,0,30,0.2998,1000000,Alderaan Wealth Partners,TRD-019,2016-01-05,True,2016-01-10,2019-01-07,32.89,0.30000000000000004,0.32,0.28,0.02828427124746191,0.30294776289987746,0.3197183666280178,0.2861771591717372,0.023717215241520775,2
RFQ-019679,Holocron Reverse Convertible,single,1.3355,0.7883,0,90,0.3462,100000,Alderaan Wealth Partners,TRD-024,2016-01-05,True,2016-01-06,2019-01-03,27.8,0.3,0.3,0.3,0.0,0.3159643025864826,0.3159643025864826,0.3159643025864826,0.0,1
RFQ-020122,Death Star Phoenix Note,worst_of,0.9713,0.6832,0,90,0.3468,100000,Jabba Asset Management,TRD-025,2016-01-05,True,2016-01-09,2021-08-25,31.19,0.35,0.42,0.28,0.09899494936611661,0.3467183221858232,0.4072594851999092,0.2861771591717372,0.08561813381636084,2
RFQ-023645,Death Star Phoenix Note,worst_of,0.9691,0.6804,3,30,0.2528,2000000,Banco de Coruscant,TRD-010,2016-01-05,True,2016-01-10,2024-07-06,27.26,0.22999999999999998,0.35,0.11,0.16970562748477142,0.24464238947472475,0.3845699593646426,0.1047148195848069,0.19788746708823093,2
RFQ-023839,Death Star Phoenix Note,worst_of,1.0382,0.6205,1,180,0.3164,250000,Corellian Capital,TRD-037,2016-01-05,False,,,,0.285,0.42,0.15,0.19091883092036782,0.2768889763817345,0.4072594851999092,0.1465184675635598,0.18437174170414383,2
RFQ-024023,Wretched Hive Digital,worst_of,1.3828,0.6,0,90,0.2177,2000000,Chandrila Sovereign Fund,TRD-034,2016-01-05,True,2016-01-09,2018-07-11,33.01,0.21000000000000002,0.27,0.15,0.08485281374238572,0.20832539162736205,0.2701323156911643,0.1465184675635598,0.08740819025959316,2
RFQ-000830,Mandalorian Twin-Win,single,1.2021,0.7747,0,30,0.3403,500000,Corellian Capital,TRD-031,2016-01-06,True,2016-01-06,2020-04-02,19.06,0.31,0.31,0.31,0.0,0.2904012360704864,0.2904012360704864,0.2904012360704864,0.0,1
RFQ-001991,Mandalorian Twin-Win,single,1.2159,0.8491,0,30,0.5469,100000,Banco de Coruscant,TRD-010,2016-01-06,True,2016-01-11,2019-03-19,5.57,0.5,0.5,0.5,0.0,0.8504437549795509,0.8504437549795509,0.8504437549795509,0.0,1
RFQ-005785,Death Star Phoenix Note,worst_of,0.9787,0.6925,0,90,0.18,1000000,Kamino Cloning Trust,TRD-028,2016-01-06,True,2016-01-06,2025-08-08,34.74,0.20500000000000002,0.26,0.15,0.07778174593052023,0.18190487104494896,0.217056065960725,0.1467536761291729,0.04971129658351066,2
RFQ-008657,Mandalorian Twin-Win,single,1.1815,0.8148,0,30,0.1772,1000000,Kamino Cloning Trust,TRD-007,2016-01-06,False,,,,0.18,0.18,0.18,0.0,0.6332814904237369,0.6332814904237369,0.6332814904237369,0.0,1
RFQ-010598,Death Star Phoenix Note,worst_of,1.0493,0.6133,0,180,0.3061,2000000,Alderaan Wealth Partners,TRD-031,2016-01-06,True,2016-01-08,2021-05-17,40.51,0.315,0.35,0.28,0.04949747468305829,0.33237844621849877,0.3805403520819596,0.2842165403550379,0.06811122046184258,2
RFQ-015843,Kessel Run Snowball,worst_of,1.0,0.5919,5,30,0.3791,250000,Banco de Coruscant,TRD-013,2016-01-06,False,,,,0.425,0.5,0.35,0.10606601717798214,0.6154920535307553,0.8504437549795509,0.3805403520819596,0.3322718826915212,2
RFQ-016987,Sith Eternal Snowball,worst_of,1.0,0.5816,0,90,0.2055,100000,Chandrila Sovereign Fund,TRD-011,2016-01-06,False,,,,0.22666666666666668,0.27,0.15,0.06658328118479392,0.2120348975914973,0.272294950684594,0.1467536761291729,0.0629210775741643,3
RFQ-018524,Kessel Run Snowball,worst_of,1.0,0.6031,3,30,0.2298,250000,Nal Hutta Traders,TRD-009,2016-01-06,True,2016-01-06,2019-09-17,19.95,0.23,0.32,0.14,0.12727922061357855,0.22969198470408714,0.3225100475132864,0.1368739218948879,0.13126456325796734,2
RFQ-019243,Sith Eternal Snowball,worst_of,1.0,0.6371,6,30,0.2576,500000,Jabba Asset Management,TRD-004,2016-01-06,True,2016-01-10,2024-04-17,64.01,0.24333333333333332,0.35,0.11,0.12220201853215575,0.25256354384986635,0.3805403520819596,0.1048553287830455,0.13889763975528474,3
RFQ-023504,Death Star Phoenix Note,worst_of,1.0494,0.6681,1,30,0.1877,500000,Alderaan Wealth Partners,TRD-030,2016-01-06,False,,,,0.18,0.22,0.14,0.05656854249492378,0.17327797104082285,0.2096820201867578,0.1368739218948879,0.0514831000274779,2
RFQ-024262,Death Star Phoenix Note,worst_of,1.0016,0.6267,2,90,0.1748,1000000,Jabba Asset Management,TRD-007,2016-01-06,False,,,,0.16,0.18,0.14,0.028284271247461888,0.3850777061593124,0.6332814904237369,0.1368739218948879,0.35101315793907495,2
RFQ-001272,Holocron Reverse Convertible,single,1.1927,0.8319,0,60,0.4189,250000,First Order Financial,TRD-019,2016-01-07,True,2016-01-07,2021-11-25,19.38,0.35,0.35,0.35,0.0,0.3828443870503856,0.3828443870503856,0.3828443870503856,0.0,1
RFQ-003059,Death Star Phoenix Note,worst_of,1.0267,0.557,2,90,0.2683,250000,Alderaan Wealth Partners,TRD-024,2016-01-07,True,2016-01-07,2024-01-22,49.93,0.25,0.35,0.15,0.14142135623730948,0.26341992997424146,0.3828443870503856,0.1439954728980974,0.16889168687612655,2
RFQ-007474,Sith Eternal Snowball,worst_of,1.0,0.5603,3,60,0.2782,250000,Kamino Cloning Trust,TRD-005,2016-01-07,False,,,,0.2966666666666667,0.35,0.22,0.06806859285554043,0.30215848525162675,0.3828443870503856,0.2074915182064158,0.088508529487399,3
RFQ-011053,Kessel Run Snowball,worst_of,1.0,0.5568,6,90,0.4383,100000,Corellian Capital,TRD-022,2016-01-07,True,2016-01-09,2022-08-28,82.2,0.385,0.5,0.27,0.1626345596729059,0.5595124846435023,0.8502563839613727,0.2687685853256319,0.41117396559256997,2
RFQ-011791,Sith Eternal Snowball,worst_of,1.0,0.6424,2,365,0.1897,5000000,Jabba Asset Management,TRD-006,2016-01-07,True,2016-01-09,2019-06-25,34.46,0.21666666666666667,0.28,0.11,0.09291573243177571,0.20164006170498985,0.2808218151880556,0.1049291333112181,0.0892469207549716,3
RFQ-013706,Wretched Hive Digital,worst_of,1.356,0.6,0,90,0.344,250000,First Order Financial,TRD-025,2016-01-07,False,,,,0.325,0.5,0.15,0.24748737341529167,0.497125928429735,0.8502563839613727,0.1439954728980974,0.4994018794998311,2
RFQ-014031,Death Star Phoenix Note,worst_of,1.0083,0.6755,0,90,0.1918,500000,Kamino Cloning Trust,TRD-022,2016-01-07,True,2016-01-08,2023-01-21,36.28,0.225,0.31,0.14,0.12020815280171307,0.21423821973971086,0.2894902896641599,0.1389861498152618,0.10642249788380434,2
RFQ-015623,Mandalorian Twin-Win,single,1.3602,0.8164,0,90,0.1207,500000,First Order Financial,TRD-030,2016-01-07,True,2016-01-07,2021-03-29,57.44,0.11,0.11,0.11,0.0,0.1049291333112181,0.1049291333112181,0.1049291333112181,0.0,1
RFQ-021205,Holocron Reverse Convertible,single,1.2443,0.7947,0,90,0.1972,1000000,Chandrila Sovereign Fund,TRD-039,2016-01-07,False,,,,0.22,0.22,0.22,0.0,0.2074915182064158,0.2074915182064158,0.2074915182064158,0.0,1
RFQ-022428,Sith Eternal Snowball,worst_of,1.0,0.5766,6,30,0.3318,250000,Corellian Capital,TRD-017,2016-01-07,True,2016-01-09,2025-05-20,65.64,0.28,0.3,0.26,0.019999999999999983,0.2692839489568479,0.3078607950667921,0.2191692366156959,0.04545756156018474,3
RFQ-001296,Wretched Hive Digital,worst_of,1.3822,0.6,0,60,0.2095,500000,Alderaan Wealth Partners,TRD-030,2016-01-08,False,,,,0.19,0.27,0.11,0.11313708498984762,0.1903124398420974,0.2684958046950381,0.1121290749891567,0.11056797492699269,2
RFQ-001429,Holocron Reverse Convertible,single,1.3167,0.8086,0,90,0.1608,250000,Nal Hutta Traders,TRD-025,2016-01-08,True,2016-01-13,2022-03-08,54.32,0.15,0.15,0.15,0.0,0.1430997793681745,0.1430997793681745,0.1430997793681745,0.0,1
RFQ-002016,Holocron Reverse Convertible,single,1.3403,0.7413,0,90,0.4148,500000,Chandrila Sovereign Fund,TRD-016,2016-01-08,False,,,,0.35,0.35,0.35,0.0,0.3768983540073716,0.3768983540073716,0.3768983540073716,0.0,1
RFQ-002182,Death Star Phoenix Note,worst_of,1.0211,0.641,2,30,0.1879,250000,Nal Hutta Traders,TRD-022,2016-01-08,True,2016-01-12,2022-09-13,31.62,0.165,0.22,0.11,0.07778174593052023,0.1603871273533867,0.2086451797176167,0.1121290749891567,0.06824719214720507,2
RFQ-005204,Wretched Hive Digital,worst_of,1.3038,0.6,0,90,0.3611,500000,Alderaan Wealth Partners,TRD-021,2016-01-08,True,2016-01-12,2019-03-16,30.38,0.305,0.35,0.26,0.06363961030678926,0.2987046100030448,0.3768983540073716,0.2205108659987181,0.11058265326364874,2
RFQ-005381,Kessel Run Snowball,worst_of,1.0,0.5122,3,90,0.1237,250000,Nal Hutta Traders,TRD-029,2016-01-08,False,,,,0.145,0.18,0.11,0.049497474683058325,0.3734339477990071,0.6347388206088576,0.1121290749891567,0.36954089504186705,2
RFQ-006339,Death Star Phoenix Note,worst_of,0.9814,0.6359,0,90,0.321,250000,Corellian Capital,TRD-028,2016-01-08,False,,,,0.285,0.35,0.22,0.09192388155425117,0.2927717668624942,0.3768983540073716,0.2086451797176167,0.11897296049644773,2
RFQ-007813,Kessel Run Snowball,worst_of,1.0,0.5866,4,180,0.319,100000,Chandrila Sovereign Fund,TRD-004,2016-01-08,True,2016-01-12,2019-07-21,26.46,0.37,0.42,0.32,0.07071067811865474,0.34429678008013664,0.3789331266012228,0.3096604335590505,0.04898319100117421,2
RFQ-010839,Holocron Reverse Convertible,single,1.2637,0.791,0,90,0.1647,500000,Corellian Capital,TRD-012,2016-01-08,True,2016-01-13,2020-01-03,10.68,0.18,0.18,0.18,0.0,0.6347388206088576,0.6347388206088576,0.6347388206088576,0.0,1
RFQ-015641,Mandalorian Twin-Win,single,1.2894,0.7547,0,30,0.2769,500000,Alderaan Wealth Partners,TRD-007,2016-01-08,True,2016-01-08,2025-10-08,27.85,0.31,0.31,0.31,0.0,0.2894057011255347,0.2894057011255347,0.2894057011255347,0.0,1
RFQ-016276,Mandalorian Twin-Win,single,1.2162,0.7549,0,30,0.2898,250000,Kamino Cloning Trust,TRD-024,2016-01-08,False,,,,0.3,0.3,0.3,0.0,0.3082016256763817,0.3082016256763817,0.3082016256763817,0.0,1
RFQ-017063,Holocron Reverse Convertible,single,1.3309,0.8445,0,90,0.2807,250000,First Order Financial,TRD-018,2016-01-08,True,2016-01-10,2020-09-12,33.14,0.3,0.3,0.3,0.0,0.3082016256763817,0.3082016256763817,0.3082016256763817,0.0,1
RFQ-017595,Death Star Phoenix Note,worst_of,0.951,0.5512,1,30,0.2416,250000,Chandrila Sovereign Fund,TRD-028,2016-01-08,False,,,,0.20500000000000002,0.27,0.14,0.09192388155425119,0.2037410326726749,0.2684958046950381,0.1389862606503117,0.09157707682240387,2
RFQ-018624,Kessel Run Snowball,worst_of,1.0,0.6052,6,30,0.1481,250000,Nal Hutta Traders,TRD-003,2016-01-08,True,2016-01-10,2019-03-25,21.86,0.14500000000000002,0.15,0.14,0.007071067811865472,0.1410430200092431,0.1430997793681745,0.1389862606503117,0.002908696979938584,2
RFQ-018950,Mandalorian Twin-Win,single,1.2236,0.7837,0,90,0.2234,100000,Corellian Capital,TRD-023,2016-01-08,False,,,,0.22,0.22,0.22,0.0,0.2086451797176167,0.2086451797176167,0.2086451797176167,0.0,1
RFQ-021984,Death Star Phoenix Note,worst_of,1.0396,0.5955,1,30,0.3159,100000,Jabba Asset Management,TRD-020,2016-01-08,False,,,,0.285,0.42,0.15,0.1909188309203678,0.26101645298469867,0.3789331266012228,0.1430997793681745,0.16675935905841016,2
RFQ-000610,Death Star Phoenix Note,worst_of,0.983,0.6449,1,30,0.2314,250000,Banco de Coruscant,TRD-009,2016-01-11,False,,,,0.20500000000000002,0.26,0.15,0.07778174593052024,0.18256510998380165,0.2165366721212704,0.1485935478463329,0.048043043909808625,2
RFQ-002649,Death Star Phoenix Note,worst_of,0.9864,0.6055,1,180,0.2033,250000,Banco de Coruscant,TRD-016,2016-01-11,True,2016-01-16,2024-05-08,47.57,0.22999999999999998,0.35,0.11,0.16970562748477142,0.23794768190038254,0.3646427351398805,0.1112526286608846,0.1791738625768793,2
RFQ-002909,Mandalorian Twin-Win,single,1.3202,0.8373,0,30,0.3542,250000,Nal Hutta Traders,TRD-002,2016-01-11,False,,,,0.3,0.3,0.3,0.0,0.3124129201238839,0.3124129201238839,0.3124129201238839,0.0,1
RFQ-003311,Sith Eternal Snowball,worst_of,1.0,0.5972,3,30,0.2425,250000,Jabba Asset Management,TRD-015,2016-01-11,False,,,,0.2833333333333333,0.42,0.11,0.15821925715074422,0.26425353440986826,0.373726007913581,0.1112526286608846,0.13654344368874252,3
RFQ-010983,Sith Eternal Snowball,worst_of,1.0,0.5596,6,90,0.4045,100000,Banco de Coruscant,TRD-014,2016-01-11,False,,,,0.36000000000000004,0.5,0.27,0.12288205727444504,0.46918356690527885,0.855363654320114,0.2638929469667773,0.3346642332206532,3
RFQ-011005,Wretched Hive Digital,worst_of,1.3497,0.6,0,90,0.382,500000,Nal Hutta Traders,TRD-004,2016-01-11,False,,,,0.33499999999999996,0.35,0.32,0.021213203435596427,0.3362123508975098,0.3646427351398805,0.3077819666551391,0.04020663497903897,2
RFQ-011922,Holocron Reverse Convertible,single,1.2749,0.8235,0,30,0.5523,100000,Nal Hutta Traders,TRD-007,2016-01-11,True,2016-01-14,2023-01-07,6.42,0.5,0.5,0.5,0.0,0.855363654320114,0.855363654320114,0.855363654320114,0.0,1
RFQ-015319,Holocron Reverse Convertible,single,1.3756,0.8158,0,90,0.2996,100000,Jabba Asset Management,TRD-034,2016-01-11,True,2016-01-11,2024-07-06,37.38,0.32,0.32,0.32,0.0,0.3077819666551391,0.3077819666551391,0.3077819666551391,0.0,1
RFQ-016752,Holocron Reverse Convertible,single,1.34,0.736,0,90,0.3612,100000,Chandrila Sovereign Fund,TRD-001,2016-01-11,True,2016-01-14,2025-06-13,37.79,0.31,0.31,0.31,0.0,0.2882940994289454,0.2882940994289454,0.2882940994289454,0.0,1
RFQ-018399,Holocron Reverse Convertible,single,1.2634,0.7054,0,90,0.4195,100000,Corellian Capital,TRD-018,2016-01-11,True,2016-01-13,2021-04-06,21.67,0.42,0.42,0.42,0.0,0.373726007913581,0.373726007913581,0.373726007913581,0.0,1
RFQ-020698,Kessel Run Snowball,worst_of,1.0,0.6067,4,30,0.2283,500000,Corellian Capital,TRD-005,2016-01-11,False,,,,0.22999999999999998,0.31,0.15,0.1131370849898476,0.21844382363763915,0.2882940994289454,0.1485935478463329,0.09878320735956635,2
RFQ-020701,Kessel Run Snowball,worst_of,1.0,0.6477,3,30,0.2481,20000000,Chandrila Sovereign Fund,TRD-030,2016-01-11,True,2016-01-15,2022-08-07,30.34,0.29000000000000004,0.32,0.26,0.04242640687119287,0.26215931938820475,0.3077819666551391,0.2165366721212704,0.0645201665162624,2
RFQ-022424,Wretched Hive Digital,worst_of,1.3612,0.6,0,30,0.2635,100000,Jabba Asset Management,TRD-013,2016-01-11,True,2016-01-13,2019-01-15,37.22,0.265,0.42,0.11,0.21920310216782976,0.2424893182872328,0.373726007913581,0.1112526286608846,0.1855967063505301,2
RFQ-024110,Death Star Phoenix Note,worst_of,1.0499,0.6109,3,60,0.1937,500000,Chandrila Sovereign Fund,TRD-017,2016-01-11,False,,,,0.165,0.22,0.11,0.07778174593052022,0.1605162496263565,0.2097798705918284,0.1112526286608846,0.0696692809009779,2
RFQ-003342,Kessel Run Snowball,worst_of,1.0,0.6374,4,90,0.3777,250000,Alderaan Wealth Partners,TRD-033,2016-01-12,True,2016-01-16,2025-08-28,107.16,0.39,0.5,0.28,0.15556349186104043,0.5679386235850087,0.8552814177762204,0.280595829393797,0.40636407659539253,2
RFQ-007437,Death Star Phoenix Note,worst_of,1.0066,0.5825,1,30,0.2037,2000000,Banco de Coruscant,TRD-014,2016-01-12,True,2016-01-15,2021-02-09,13.42,0.22,0.26,0.18,0.05656854249492382,0.4302839904029635,0.6346881076990637,0.2258798731068633,0.28907107488504585,2
RFQ-008982,Death Star Phoenix Note,worst_of,0.9535,0.6935,3,180,0.3408,100000,Chandrila Sovereign Fund,TRD-026,2016-01-12,True,2016-01-16,2021-08-20,54.84,0.39,0.5,0.28,0.15556349186104043,0.5679386235850087,0.8552814177762204,0.280595829393797,0.40636407659539253,2
RFQ-010312,Sith Eternal Snowball,worst_of,1.0,0.6207,5,90,0.3573,500000,Alderaan Wealth Partners,TRD-015,2016-01-12,True,2016-01-12,2025-05-01,94.6,0.35000000000000003,0.5,0.27,0.13,0.4684762298679222,0.8552814177762204,0.2695514424337494,0.3350286326053509,3
RFQ-012663,Holocron Reverse Convertible,single,1.2963,0.7403,0,180,0.3169,2000000,Kamino Cloning Trust,TRD-021,2016-01-12,False,,,,0.27,0.27,0.27,0.0,0.2695514424337494,0.2695514424337494,0.2695514424337494,0.0,1
RFQ-012697,Sith Eternal Snowball,worst_of,1.0,0.6325,6,90,0.3938,250000,First Order Financial,TRD-011,2016-01-12,True,2016-01-16,2024-04-21,75.51,0.3333333333333333,0.42,0.27,0.07767453465154026,0.3089770721647194,0.3690182912126607,0.2695514424337494,0.05284094429196187,3
RFQ-013283,Kessel Run Snowball,worst_of,1.0,0.519,6,90,0.3862,100000,Chandrila Sovereign Fund,TRD-035,2016-01-12,False,,,,0.36,0.5,0.22,0.1979898987322333,0.5310112798663367,0.8552814177762204,0.206741141956453,0.4585872269047514,2
RFQ-018640,Death Star Phoenix Note,worst_of,1.0474,0.6755,3,180,0.3717,250000,Corellian Capital,TRD-016,2016-01-12,True,2016-01-17,2019-04-28,24.29,0.33499999999999996,0.35,0.32,0.021213203435596427,0.3368981148895527,0.3662261694303483,0.307570060348757,0.041476132489611024,2
RFQ-019274,Death Star Phoenix Note,worst_of,0.954,0.6597,2,90,0.2457,100000,Jabba Asset Management,TRD-038,2016-01-12,True,2016-01-14,2020-09-23,19.26,0.265,0.27,0.26,0.007071067811865481,0.24771565777030635,0.2695514424337494,0.2258798731068633,0.030880462816099588,2
RFQ-019658,Mandalorian Twin-Win,single,1.3895,0.8397,0,180,0.2,250000,Corellian Capital,TRD-037,2016-01-12,True,2016-01-15,2023-05-27,18.48,0.18,0.18,0.18,0.0,0.6346881076990637,0.6346881076990637,0.6346881076990637,0.0,1
RFQ-024426,Mandalorian Twin-Win,single,1.2117,0.7527,0,30,0.3589,100000,Banco de Coruscant,TRD-021,2016-01-12,False,,,,0.32,0.32,0.32,0.0,0.307570060348757,0.307570060348757,0.307570060348757,0.0,1
RFQ-000833,Kessel Run Snowball,worst_of,1.0,0.5283,4,60,0.2016,250000,Jabba Asset Management,TRD-013,2016-01-13,True,2016-01-13,2020-11-13,33.37,0.195,0.28,0.11,0.1202081528017131,0.1955793639502526,0.2803910857010191,0.1107676421994861,0.11994188714814721,2
RFQ-002689,Death Star Phoenix Note,worst_of,1.0422,0.6948,2,30,0.1777,2000000,Banco de Coruscant,TRD-039,2016-01-13,True,2016-01-15,2022-02-13,38.91,0.2,0.26,0.14,0.08485281374238571,0.17911289980226486,0.2244563511733538,0.1337694484311759,0.0641253238937989,2
RFQ-010052,Kessel Run Snowball,worst_of,1.0,0.5728,4,90,0.2363,250000,First Order Financial,TRD-020,2016-01-13,False,,,,0.265,0.42,0.11,0.21920310216782976,0.23792818753231054,0.365088732865135,0.1107676421994861,0.1798321678084391,2
